algoritmo,tipo_entrada,tamanho,tempo,comparacoes
bubble,sorted,1000,0.003836,499500
bubble,sorted,10000,0.109512,49995000
bubble,sorted,100000,10.401712,4999950000
bubble,sorted,500000,279.125480,124999750000
bubble,sorted,1000000,1114.036716,499999500000
bubble,random,1000,0.001621,499500
bubble,random,10000,0.162810,49995000
bubble,random,100000,25.542738,4999950000
bubble,random,500000,628.898858,124999750000
bubble,random,1000000,2525.445461,499999500000
bubble,desc,1000,0.001479,499500
bubble,desc,10000,0.156906,49995000
bubble,desc,100000,15.363306,4999950000
bubble,desc,500000,397.578707,124999750000
bubble,desc,1000000,1686.861334,499999500000
insertion,sorted,1000,0.000004,999
insertion,sorted,10000,0.000044,9999
insertion,sorted,100000,0.000315,99999
insertion,sorted,500000,0.001334,499999
insertion,sorted,1000000,0.002847,999999
insertion,random,1000,0.000613,247479
insertion,random,10000,0.057279,24787531
insertion,random,100000,5.434798,2501614570
insertion,random,500000,138.916508,62459710295
insertion,random,1000000,547.737014,250175424025
insertion,desc,1000,0.001382,499500
insertion,desc,10000,0.103699,49995000
insertion,desc,100000,11.188431,4999950000
insertion,desc,500000,277.438260,124999750000
insertion,desc,1000000,1313.277456,499999500000
merge,sorted,1000,0.000088,5044
merge,sorted,10000,0.000981,69008
merge,sorted,100000,0.011110,853904
merge,sorted,500000,0.070550,4783216
merge,sorted,1000000,0.124119,10066432
merge,random,1000,0.000128,8711
merge,random,10000,0.001513,120467
merge,random,100000,0.020922,1536031
merge,random,500000,0.118473,8836607
merge,random,1000000,0.240331,18674039
merge,desc,1000,0.000088,4932
merge,desc,10000,0.001084,64608
merge,desc,100000,0.009850,815024
merge,desc,500000,0.065815,4692496
merge,desc,1000000,0.127708,9884992
quick,sorted,1000,0.001955,499500
quick,sorted,10000,0.202478,49995000
quick,sorted,100000,23.403486,4999950000
quick,sorted,500000,566.608655,124999750000
quick,sorted,1000000,2001.465895,499999500000
quick,random,1000,0.000077,10408
quick,random,10000,0.000926,159364
quick,random,100000,0.011113,2040589
quick,random,500000,0.062590,11649694
quick,random,1000000,0.130417,24210306
quick,desc,1000,0.001323,499500
quick,desc,10000,0.121225,49995000
quick,desc,100000,11.391728,4999950000
quick,desc,500000,285.556071,124999750000
quick,desc,1000000,1145.864332,499999500000
